datetime,CO2
2013-08-25 00:00:02,348.0
2013-08-25 00:00:07,348.0
2013-08-25 00:00:12,336.0
2013-08-25 00:00:17,340.0
2013-08-25 00:00:22,332.0
2013-08-25 00:00:27,328.0
2013-08-25 00:00:32,328.0
2013-08-25 00:00:37,329.0
2013-08-25 00:00:42,328.0
2013-08-25 00:00:47,335.0
2013-08-25 00:00:52,329.0
2013-08-25 00:00:57,331.0
2013-08-25 00:01:02,344.0
2013-08-25 00:01:07,348.0
2013-08-25 00:01:12,351.0
2013-08-25 00:01:17,348.0
2013-08-25 00:01:22,352.0
2013-08-25 00:01:27,348.0
2013-08-25 00:01:32,344.0
2013-08-25 00:01:37,348.0
2013-08-25 00:01:42,344.0
2013-08-25 00:01:47,344.0
2013-08-25 00:01:52,345.0
2013-08-25 00:01:57,348.0
2013-08-25 00:02:02,340.0
2013-08-25 00:02:07,336.0
2013-08-25 00:02:12,336.0
2013-08-25 00:02:17,340.0
2013-08-25 00:02:22,344.0
2013-08-25 00:02:27,337.0
2013-08-25 00:02:32,342.0
2013-08-25 00:02:37,340.0
2013-08-25 00:02:42,340.0
2013-08-25 00:02:47,344.0
2013-08-25 00:02:52,344.0
2013-08-25 00:02:57,344.0
2013-08-25 00:03:02,346.0
2013-08-25 00:03:07,343.0
2013-08-25 00:03:12,340.0
2013-08-25 00:03:17,336.0
2013-08-25 00:03:22,336.0
2013-08-25 00:03:27,336.0
2013-08-25 00:03:32,340.0
2013-08-25 00:03:37,341.0
2013-08-25 00:03:42,350.0
2013-08-25 00:03:47,344.0
2013-08-25 00:03:52,351.0
2013-08-25 00:03:57,348.0
2013-08-25 00:04:02,344.0
2013-08-25 00:04:07,340.0
2013-08-25 00:04:12,340.0
2013-08-25 00:04:17,351.0
2013-08-25 00:04:22,340.0
2013-08-25 00:04:27,344.0
2013-08-25 00:04:32,350.0
2013-08-25 00:04:37,347.0
2013-08-25 00:04:42,359.0
2013-08-25 00:04:47,351.0
2013-08-25 00:04:52,344.0
2013-08-25 00:04:57,340.0
2013-08-25 00:05:02,332.0
2013-08-25 00:05:07,335.0
2013-08-25 00:05:12,336.0
2013-08-25 00:05:17,344.0
2013-08-25 00:05:22,348.0
2013-08-25 00:05:27,345.0
2013-08-25 00:05:32,352.0
2013-08-25 00:05:37,351.0
2013-08-25 00:05:42,354.0
2013-08-25 00:05:47,356.0
2013-08-25 00:05:52,360.0
2013-08-25 00:05:57,356.0
2013-08-25 00:06:02,355.0
2013-08-25 00:06:07,353.0
2013-08-25 00:06:12,352.0
2013-08-25 00:06:17,355.0
2013-08-25 00:06:22,360.0
2013-08-25 00:06:27,347.0
2013-08-25 00:06:32,347.0
2013-08-25 00:06:37,343.0
2013-08-25 00:06:42,342.0
2013-08-25 00:06:47,337.0
2013-08-25 00:06:52,340.0
2013-08-25 00:06:57,342.0
2013-08-25 00:07:02,344.0
2013-08-25 00:07:07,344.0
2013-08-25 00:07:12,350.0
2013-08-25 00:07:17,343.0
2013-08-25 00:07:22,346.0
2013-08-25 00:07:27,337.0
2013-08-25 00:07:32,334.0
2013-08-25 00:07:37,328.0
2013-08-25 00:07:42,321.0
2013-08-25 00:07:47,327.0
2013-08-25 00:07:52,328.0
2013-08-25 00:07:57,336.0
2013-08-25 00:08:02,339.0
2013-08-25 00:08:07,343.0
2013-08-25 00:08:12,343.0
2013-08-25 00:08:17,347.0
2013-08-25 00:08:22,352.0
2013-08-25 00:08:27,359.0
2013-08-25 00:08:32,346.0
2013-08-25 00:08:37,344.0
2013-08-25 00:08:42,340.0
2013-08-25 00:08:47,343.0
2013-08-25 00:08:52,336.0
2013-08-25 00:08:57,336.0
2013-08-25 00:09:02,336.0
2013-08-25 00:09:07,337.0
2013-08-25 00:09:12,340.0
2013-08-25 00:09:17,340.0
2013-08-25 00:09:22,343.0
2013-08-25 00:09:27,344.0
2013-08-25 00:09:32,348.0
2013-08-25 00:09:37,350.0
2013-08-25 00:09:42,345.0
2013-08-25 00:09:47,343.0
2013-08-25 00:09:52,344.0
2013-08-25 00:09:57,336.0
2013-08-25 00:10:02,337.0
2013-08-25 00:10:07,342.0
2013-08-25 00:10:12,343.0
2013-08-25 00:10:17,335.0
2013-08-25 00:10:22,335.0
2013-08-25 00:10:27,343.0
2013-08-25 00:10:32,343.0
2013-08-25 00:10:37,330.0
2013-08-25 00:10:42,332.0
2013-08-25 00:10:47,335.0
2013-08-25 00:10:52,334.0
2013-08-25 00:10:57,329.0
2013-08-25 00:11:02,336.0
2013-08-25 00:11:07,338.0
2013-08-25 00:11:12,345.0
2013-08-25 00:11:17,351.0
2013-08-25 00:11:22,351.0
2013-08-25 00:11:27,352.0
2013-08-25 00:11:32,345.0
2013-08-25 00:11:37,348.0
2013-08-25 00:11:42,344.0
2013-08-25 00:11:47,339.0
2013-08-25 00:11:52,337.0
2013-08-25 00:11:57,340.0
2013-08-25 00:12:02,344.0
2013-08-25 00:12:07,344.0
2013-08-25 00:12:12,338.0
2013-08-25 00:12:17,336.0
2013-08-25 00:12:22,336.0
2013-08-25 00:12:27,332.0
2013-08-25 00:12:32,332.0
2013-08-25 00:12:37,335.0
2013-08-25 00:12:42,335.0
2013-08-25 00:12:47,336.0
2013-08-25 00:12:52,335.0
2013-08-25 00:12:57,336.0
2013-08-25 00:13:02,336.0
2013-08-25 00:13:07,340.0
2013-08-25 00:13:12,344.0
2013-08-25 00:13:17,347.0
