datetime,CO2
2013-08-23 23:05:16,503.0
2013-08-23 23:05:23,496.0
2013-08-23 23:05:27,492.0
2013-08-23 23:05:30,480.0
2013-08-23 23:05:33,487.0
2013-08-23 23:05:38,480.0
2013-08-23 23:05:43,483.0
2013-08-23 23:05:48,492.0
2013-08-23 23:05:53,488.0
2013-08-23 23:05:58,492.0
2013-08-23 23:06:03,488.0
2013-08-23 23:06:08,488.0
2013-08-23 23:06:13,480.0
2013-08-23 23:06:18,479.0
2013-08-23 23:06:23,494.0
2013-08-23 23:06:28,495.0
2013-08-23 23:06:33,504.0
2013-08-23 23:06:38,504.0
2013-08-23 23:06:43,503.0
2013-08-23 23:06:48,495.0
2013-08-23 23:06:53,483.0
2013-08-23 23:06:58,495.0
2013-08-23 23:07:03,480.0
2013-08-23 23:07:08,478.0
2013-08-23 23:07:13,476.0
2013-08-23 23:07:18,472.0
2013-08-23 23:07:23,472.0
2013-08-23 23:07:28,472.0
2013-08-23 23:07:33,479.0
2013-08-23 23:07:38,480.0
2013-08-23 23:07:43,488.0
2013-08-23 23:07:48,503.0
2013-08-23 23:07:53,496.0
2013-08-23 23:07:58,496.0
2013-08-23 23:08:03,495.0
2013-08-23 23:08:08,487.0
2013-08-23 23:08:13,488.0
2013-08-23 23:08:18,488.0
2013-08-23 23:08:23,487.0
2013-08-23 23:08:28,485.0
2013-08-23 23:08:33,487.0
2013-08-23 23:08:38,489.0
2013-08-23 23:08:43,496.0
2013-08-23 23:08:48,496.0
2013-08-23 23:08:53,496.0
2013-08-23 23:08:58,495.0
2013-08-23 23:09:03,484.0
2013-08-23 23:09:08,488.0
2013-08-23 23:09:13,487.0
2013-08-23 23:09:18,488.0
2013-08-23 23:09:23,496.0
2013-08-23 23:09:28,489.0
2013-08-23 23:09:33,496.0
2013-08-23 23:09:38,495.0
2013-08-23 23:09:43,495.0
2013-08-23 23:09:48,496.0
2013-08-23 23:09:53,511.0
2013-08-23 23:09:58,503.0
2013-08-23 23:10:03,503.0
2013-08-23 23:10:08,504.0
2013-08-23 23:10:13,500.0
2013-08-23 23:10:18,487.0
2013-08-23 23:10:23,481.0
2013-08-23 23:10:28,479.0
2013-08-23 23:10:33,494.0
2013-08-23 23:10:38,488.0
2013-08-23 23:10:43,504.0
2013-08-23 23:10:48,504.0
2013-08-23 23:10:53,499.0
2013-08-23 23:10:58,506.0
2013-08-23 23:11:03,497.0
2013-08-23 23:11:08,495.0
2013-08-23 23:11:13,504.0
2013-08-23 23:11:18,515.0
2013-08-23 23:11:23,508.0
2013-08-23 23:11:28,508.0
2013-08-23 23:11:33,497.0
2013-08-23 23:11:38,500.0
2013-08-23 23:11:43,494.0
2013-08-23 23:11:48,488.0
2013-08-23 23:11:53,488.0
2013-08-23 23:11:58,492.0
2013-08-23 23:12:03,496.0
2013-08-23 23:12:08,499.0
2013-08-23 23:12:13,499.0
2013-08-23 23:12:18,501.0
2013-08-23 23:12:23,504.0
