datetime,CO2
2013-08-28 00:00:00,444.0
2013-08-28 00:00:05,438.0
2013-08-28 00:00:10,441.0
2013-08-28 00:00:15,441.0
2013-08-28 00:00:20,444.0
2013-08-28 00:00:25,449.0
2013-08-28 00:00:30,439.0
2013-08-28 00:00:35,442.0
2013-08-28 00:00:40,441.0
2013-08-28 00:00:45,440.0
2013-08-28 00:00:50,436.0
2013-08-28 00:00:55,435.0
2013-08-28 00:01:00,434.0
2013-08-28 00:01:05,422.0
2013-08-28 00:01:10,425.0
2013-08-28 00:01:15,420.0
2013-08-28 00:01:20,425.0
2013-08-28 00:01:25,429.0
2013-08-28 00:01:30,436.0
2013-08-28 00:01:35,441.0
2013-08-28 00:01:40,441.0
2013-08-28 00:01:45,439.0
2013-08-28 00:01:50,449.0
2013-08-28 00:01:55,454.0
2013-08-28 00:02:00,451.0
2013-08-28 00:02:05,445.0
2013-08-28 00:02:10,438.0
2013-08-28 00:02:15,435.0
2013-08-28 00:02:20,431.0
2013-08-28 00:02:25,429.0
2013-08-28 00:02:30,429.0
2013-08-28 00:02:35,427.0
2013-08-28 00:02:40,429.0
2013-08-28 00:02:45,438.0
2013-08-28 00:02:50,441.0
2013-08-28 00:02:55,435.0
2013-08-28 00:03:00,441.0
2013-08-28 00:03:05,438.0
2013-08-28 00:03:10,441.0
2013-08-28 00:03:15,446.0
2013-08-28 00:03:20,446.0
2013-08-28 00:03:25,450.0
2013-08-28 00:03:30,443.0
2013-08-28 00:03:35,438.0
2013-08-28 00:03:40,441.0
2013-08-28 00:03:45,441.0
2013-08-28 00:03:50,438.0
2013-08-28 00:03:55,438.0
2013-08-28 00:04:00,441.0
2013-08-28 00:04:05,441.0
2013-08-28 00:04:10,435.0
2013-08-28 00:04:15,438.0
2013-08-28 00:04:20,435.0
2013-08-28 00:04:25,442.0
2013-08-28 00:04:30,442.0
2013-08-28 00:04:35,450.0
2013-08-28 00:04:40,443.0
2013-08-28 00:04:45,444.0
2013-08-28 00:04:50,449.0
2013-08-28 00:04:55,449.0
2013-08-28 00:05:00,449.0
2013-08-28 00:05:05,443.0
2013-08-28 00:05:10,445.0
2013-08-28 00:05:15,437.0
2013-08-28 00:05:20,431.0
2013-08-28 00:05:25,434.0
2013-08-28 00:05:30,436.0
2013-08-28 00:05:35,438.0
2013-08-28 00:05:40,449.0
2013-08-28 00:05:45,446.0
2013-08-28 00:05:50,443.0
2013-08-28 00:05:55,448.0
2013-08-28 00:06:00,442.0
2013-08-28 00:06:05,437.0
2013-08-28 00:06:10,434.0
2013-08-28 00:06:15,429.0
2013-08-28 00:06:20,431.0
2013-08-28 00:06:25,435.0
2013-08-28 00:06:30,439.0
2013-08-28 00:06:35,448.0
2013-08-28 00:06:40,449.0
2013-08-28 00:06:45,450.0
2013-08-28 00:06:50,444.0
2013-08-28 00:06:55,442.0
2013-08-28 00:07:00,438.0
2013-08-28 00:07:05,445.0
2013-08-28 00:07:10,439.0
2013-08-28 00:07:15,442.0
2013-08-28 00:07:20,449.0
2013-08-28 00:07:25,449.0
2013-08-28 00:07:30,453.0
2013-08-28 00:07:35,452.0
2013-08-28 00:07:40,445.0
2013-08-28 00:07:45,441.0
2013-08-28 00:07:50,438.0
2013-08-28 00:07:55,441.0
2013-08-28 00:08:00,442.0
2013-08-28 00:08:05,449.0
2013-08-28 00:08:10,443.0
2013-08-28 00:08:15,450.0
2013-08-28 00:08:20,454.0
2013-08-28 00:08:25,454.0
2013-08-28 00:08:30,457.0
2013-08-28 00:08:35,450.0
2013-08-28 00:08:40,445.0
2013-08-28 00:08:45,442.0
2013-08-28 00:08:50,441.0
2013-08-28 00:08:55,449.0
2013-08-28 00:09:00,444.0
2013-08-28 00:09:05,446.0
2013-08-28 00:09:10,446.0
2013-08-28 00:09:15,446.0
2013-08-28 00:09:20,457.0
2013-08-28 00:09:25,449.0
2013-08-28 00:09:30,449.0
2013-08-28 00:09:35,443.0
2013-08-28 00:09:40,435.0
2013-08-28 00:09:45,423.0
2013-08-28 00:09:50,422.0
2013-08-28 00:09:55,427.0
2013-08-28 00:10:00,430.0
2013-08-28 00:10:05,436.0
2013-08-28 00:10:10,435.0
2013-08-28 00:10:15,434.0
2013-08-28 00:10:20,442.0
2013-08-28 00:10:25,438.0
2013-08-28 00:10:30,442.0
2013-08-28 00:10:35,450.0
2013-08-28 00:10:40,450.0
2013-08-28 00:10:45,441.0
2013-08-28 00:10:50,443.0
2013-08-28 00:10:55,440.0
2013-08-28 00:11:00,437.0
2013-08-28 00:11:05,438.0
2013-08-28 00:11:10,441.0
2013-08-28 00:11:15,437.0
2013-08-28 00:11:20,435.0
2013-08-28 00:11:25,431.0
2013-08-28 00:11:30,427.0
2013-08-28 00:11:35,429.0
2013-08-28 00:11:40,434.0
2013-08-28 00:11:45,441.0
2013-08-28 00:11:50,439.0
2013-08-28 00:11:55,446.0
2013-08-28 00:12:00,450.0
2013-08-28 00:12:05,449.0
2013-08-28 00:12:10,445.0
2013-08-28 00:12:15,452.0
2013-08-28 00:12:20,453.0
2013-08-28 00:12:25,459.0
2013-08-28 00:12:30,452.0
2013-08-28 00:12:35,451.0
2013-08-28 00:12:40,439.0
2013-08-28 00:12:45,438.0
2013-08-28 00:12:50,436.0
2013-08-28 00:12:55,439.0
2013-08-28 00:13:00,441.0
2013-08-28 00:13:05,441.0
2013-08-28 00:13:10,435.0
2013-08-28 00:13:15,435.0
2013-08-28 00:13:20,434.0
2013-08-28 00:13:25,436.0
2013-08-28 00:13:30,434.0
2013-08-28 00:13:35,435.0
2013-08-28 00:13:40,435.0
2013-08-28 00:13:45,438.0
2013-08-28 00:13:50,441.0
2013-08-28 00:13:55,438.0
2013-08-28 00:14:00,448.0
2013-08-28 00:14:05,442.0
2013-08-28 00:14:10,438.0
2013-08-28 00:14:15,445.0
2013-08-28 00:14:20,446.0
2013-08-28 00:14:25,451.0
2013-08-28 00:14:30,458.0
2013-08-28 00:14:35,450.0
2013-08-28 00:14:40,457.0
2013-08-28 00:14:45,446.0
2013-08-28 00:14:50,449.0
2013-08-28 00:14:55,440.0
2013-08-28 00:15:00,431.0
2013-08-28 00:15:05,434.0
2013-08-28 00:15:10,430.0
2013-08-28 00:15:15,432.0
2013-08-28 00:15:20,434.0
2013-08-28 00:15:25,432.0
2013-08-28 00:15:30,429.0
2013-08-28 00:15:35,436.0
2013-08-28 00:15:40,434.0
2013-08-28 00:15:45,441.0
2013-08-28 00:15:50,437.0
2013-08-28 00:15:55,438.0
2013-08-28 00:16:00,445.0
2013-08-28 00:16:05,445.0
2013-08-28 00:16:10,452.0
2013-08-28 00:16:15,451.0
2013-08-28 00:16:20,451.0
2013-08-28 00:16:25,461.0
2013-08-28 00:16:30,449.0
2013-08-28 00:16:35,450.0
2013-08-28 00:16:40,449.0
2013-08-28 00:16:45,450.0
2013-08-28 00:16:50,445.0
2013-08-28 00:16:55,456.0
2013-08-28 00:17:00,445.0
2013-08-28 00:17:05,453.0
2013-08-28 00:17:10,446.0
2013-08-28 00:17:15,439.0
2013-08-28 00:17:20,442.0
2013-08-28 00:17:25,436.0
2013-08-28 00:17:30,438.0
2013-08-28 00:17:35,437.0
2013-08-28 00:17:40,445.0
2013-08-28 00:17:45,449.0
2013-08-28 00:17:50,449.0
2013-08-28 00:17:55,442.0
2013-08-28 00:18:00,441.0
2013-08-28 00:18:05,435.0
2013-08-28 00:18:10,442.0
2013-08-28 00:18:15,449.0
2013-08-28 00:18:20,449.0
2013-08-28 00:18:25,449.0
2013-08-28 00:18:30,446.0
2013-08-28 00:18:35,437.0
2013-08-28 00:18:40,440.0
2013-08-28 00:18:45,431.0
2013-08-28 00:18:50,438.0
2013-08-28 00:18:55,437.0
2013-08-28 00:19:00,449.0
2013-08-28 00:19:05,440.0
2013-08-28 00:19:10,436.0
2013-08-28 00:19:15,432.0
2013-08-28 00:19:20,429.0
2013-08-28 00:19:25,428.0
2013-08-28 00:19:30,434.0
2013-08-28 00:19:35,438.0
2013-08-28 00:19:40,441.0
2013-08-28 00:19:45,435.0
2013-08-28 00:19:50,438.0
2013-08-28 00:19:55,441.0
2013-08-28 00:20:00,438.0
2013-08-28 00:20:05,441.0
2013-08-28 00:20:10,429.0
2013-08-28 00:20:15,422.0
2013-08-28 00:20:20,419.0
2013-08-28 00:20:25,420.0
2013-08-28 00:20:30,426.0
2013-08-28 00:20:35,429.0
2013-08-28 00:20:40,437.0
2013-08-28 00:20:45,438.0
2013-08-28 00:20:50,436.0
2013-08-28 00:20:55,434.0
2013-08-28 00:21:00,440.0
2013-08-28 00:21:05,437.0
2013-08-28 00:21:10,434.0
2013-08-28 00:21:15,436.0
2013-08-28 00:21:20,435.0
2013-08-28 00:21:25,441.0
2013-08-28 00:21:30,438.0
2013-08-28 00:21:35,446.0
2013-08-28 00:21:40,449.0
2013-08-28 00:21:45,457.0
2013-08-28 00:21:50,453.0
2013-08-28 00:21:55,450.0
2013-08-28 00:22:00,448.0
2013-08-28 00:22:05,438.0
2013-08-28 00:22:10,442.0
2013-08-28 00:22:15,437.0
2013-08-28 00:22:20,438.0
2013-08-28 00:22:25,434.0
2013-08-28 00:22:30,427.0
2013-08-28 00:22:35,425.0
2013-08-28 00:22:40,432.0
2013-08-28 00:22:45,435.0
2013-08-28 00:22:50,444.0
2013-08-28 00:22:55,447.0
2013-08-28 00:23:00,457.0
2013-08-28 00:23:05,452.0
2013-08-28 00:23:10,446.0
2013-08-28 00:23:15,441.0
2013-08-28 00:23:20,441.0
2013-08-28 00:23:25,434.0
2013-08-28 00:23:30,442.0
2013-08-28 00:23:35,438.0
2013-08-28 00:23:40,437.0
2013-08-28 00:23:45,434.0
2013-08-28 00:23:50,429.0
2013-08-28 00:23:55,429.0
2013-08-28 00:24:00,427.0
2013-08-28 00:24:05,432.0
2013-08-28 00:24:10,428.0
2013-08-28 00:24:15,426.0
2013-08-28 00:24:20,426.0
2013-08-28 00:24:25,426.0
2013-08-28 00:24:30,425.0
2013-08-28 00:24:35,419.0
2013-08-28 00:24:40,419.0
2013-08-28 00:24:45,426.0
2013-08-28 00:24:50,429.0
2013-08-28 00:24:55,436.0
2013-08-28 00:25:00,435.0
2013-08-28 00:25:05,441.0
2013-08-28 00:25:10,435.0
2013-08-28 00:25:15,442.0
2013-08-28 00:25:20,437.0
2013-08-28 00:25:25,440.0
2013-08-28 00:25:30,429.0
2013-08-28 00:25:35,434.0
2013-08-28 00:25:40,428.0
2013-08-28 00:25:45,426.0
2013-08-28 00:25:50,429.0
2013-08-28 00:25:55,436.0
2013-08-28 00:26:00,440.0
2013-08-28 00:26:05,437.0
2013-08-28 00:26:10,435.0
2013-08-28 00:26:15,431.0
2013-08-28 00:26:20,434.0
2013-08-28 00:26:25,436.0
2013-08-28 00:26:30,431.0
2013-08-28 00:26:35,438.0
2013-08-28 00:26:40,441.0
2013-08-28 00:26:45,448.0
2013-08-28 00:26:50,445.0
2013-08-28 00:26:55,450.0
2013-08-28 00:27:00,457.0
2013-08-28 00:27:05,450.0
2013-08-28 00:27:10,449.0
2013-08-28 00:27:15,442.0
2013-08-28 00:27:20,435.0
2013-08-28 00:27:25,435.0
2013-08-28 00:27:30,449.0
2013-08-28 00:27:35,449.0
2013-08-28 00:27:40,451.0
2013-08-28 00:27:45,453.0
2013-08-28 00:27:50,458.0
2013-08-28 00:27:55,454.0
2013-08-28 00:28:00,444.0
2013-08-28 00:28:05,437.0
2013-08-28 00:28:10,437.0
2013-08-28 00:28:15,432.0
2013-08-28 00:28:20,429.0
2013-08-28 00:28:25,429.0
2013-08-28 00:28:30,431.0
2013-08-28 00:28:35,441.0
2013-08-28 00:28:40,441.0
2013-08-28 00:28:45,434.0
2013-08-28 00:28:50,429.0
2013-08-28 00:28:55,426.0
2013-08-28 00:29:00,421.0
2013-08-28 00:29:05,420.0
2013-08-28 00:29:10,407.0
2013-08-28 00:29:15,410.0
2013-08-28 00:29:20,420.0
2013-08-28 00:29:25,426.0
2013-08-28 00:29:30,431.0
2013-08-28 00:29:35,441.0
2013-08-28 00:29:40,450.0
2013-08-28 00:29:45,447.0
2013-08-28 00:29:50,454.0
2013-08-28 00:29:55,456.0
2013-08-28 00:30:00,456.0
2013-08-28 00:30:05,446.0
2013-08-28 00:30:10,438.0
2013-08-28 00:30:15,435.0
2013-08-28 00:30:20,429.0
2013-08-28 00:30:25,434.0
2013-08-28 00:30:30,429.0
2013-08-28 00:30:35,427.0
2013-08-28 00:30:40,422.0
2013-08-28 00:30:45,425.0
2013-08-28 00:30:50,430.0
2013-08-28 00:30:55,436.0
2013-08-28 00:31:00,442.0
2013-08-28 00:31:05,439.0
2013-08-28 00:31:10,435.0
2013-08-28 00:31:15,431.0
2013-08-28 00:31:20,432.0
2013-08-28 00:31:25,434.0
