datetime,Light
2013-08-27 00:00:03,3.0
2013-08-27 00:00:08,1.0
2013-08-27 00:00:13,4.0
2013-08-27 00:00:18,4.0
2013-08-27 00:00:23,4.0
2013-08-27 00:00:28,4.0
2013-08-27 00:00:33,5.0
2013-08-27 00:00:38,5.0
2013-08-27 00:00:43,5.0
2013-08-27 00:00:48,4.0
2013-08-27 00:00:53,5.0
2013-08-27 00:00:58,4.0
2013-08-27 00:01:03,5.0
2013-08-27 00:01:08,5.0
2013-08-27 00:01:13,6.0
2013-08-27 00:01:18,6.0
2013-08-27 00:01:23,4.0
2013-08-27 00:01:28,5.0
2013-08-27 00:01:33,4.0
2013-08-27 00:01:38,4.0
2013-08-27 00:01:43,4.0
2013-08-27 00:01:48,4.0
2013-08-27 00:01:53,4.0
2013-08-27 00:01:58,4.0
2013-08-27 00:02:03,5.0
2013-08-27 00:02:08,5.0
2013-08-27 00:02:13,4.0
2013-08-27 00:02:18,4.0
2013-08-27 00:02:23,5.0
2013-08-27 00:02:28,4.0
2013-08-27 00:02:33,4.0
2013-08-27 00:02:38,5.0
2013-08-27 00:02:43,4.0
2013-08-27 00:02:48,4.0
2013-08-27 00:02:53,4.0
2013-08-27 00:02:58,4.0
2013-08-27 00:03:03,4.0
2013-08-27 00:03:08,5.0
2013-08-27 00:03:13,5.0
2013-08-27 00:03:22,5.0
2013-08-27 00:03:23,5.0
2013-08-27 00:03:28,5.0
2013-08-27 00:03:33,4.0
2013-08-27 00:03:38,4.0
2013-08-27 00:03:43,4.0
2013-08-27 00:03:48,5.0
2013-08-27 00:03:53,5.0
2013-08-27 00:03:59,5.0
2013-08-27 00:04:03,5.0
2013-08-27 00:04:08,4.0
2013-08-27 00:04:13,2.0
2013-08-27 00:04:18,4.0
2013-08-27 00:04:23,5.0
2013-08-27 00:04:28,6.0
2013-08-27 00:04:33,5.0
2013-08-27 00:04:38,5.0
2013-08-27 00:04:43,5.0
2013-08-27 00:04:48,5.0
2013-08-27 00:04:53,4.0
2013-08-27 00:04:58,4.0
2013-08-27 00:05:03,5.0
2013-08-27 00:05:08,5.0
2013-08-27 00:05:13,5.0
2013-08-27 00:05:18,4.0
2013-08-27 00:05:23,5.0
2013-08-27 00:05:28,4.0
2013-08-27 00:05:33,6.0
2013-08-27 00:05:38,6.0
2013-08-27 00:05:43,4.0
2013-08-27 00:05:48,5.0
2013-08-27 00:05:53,6.0
2013-08-27 00:05:58,5.0
2013-08-27 00:06:03,4.0
2013-08-27 00:06:08,6.0
2013-08-27 00:06:13,6.0
2013-08-27 00:06:18,6.0
2013-08-27 00:06:23,5.0
2013-08-27 00:06:28,4.0
2013-08-27 00:06:33,5.0
2013-08-27 00:06:38,3.0
2013-08-27 00:06:43,4.0
2013-08-27 00:06:48,3.0
2013-08-27 00:06:53,4.0
2013-08-27 00:06:58,4.0
2013-08-27 00:07:03,4.0
2013-08-27 00:07:08,5.0
2013-08-27 00:07:13,5.0
2013-08-27 00:07:18,5.0
2013-08-27 00:07:23,5.0
2013-08-27 00:07:28,5.0
2013-08-27 00:07:33,4.0
2013-08-27 00:07:38,6.0
2013-08-27 00:07:43,5.0
2013-08-27 00:07:48,6.0
2013-08-27 00:07:53,4.0
2013-08-27 00:07:58,4.0
2013-08-27 00:08:03,4.0
2013-08-27 00:08:08,4.0
2013-08-27 00:08:13,4.0
2013-08-27 00:08:18,4.0
2013-08-27 00:08:23,5.0
2013-08-27 00:08:28,3.0
2013-08-27 00:08:33,4.0
2013-08-27 00:08:38,4.0
2013-08-27 00:08:43,3.0
2013-08-27 00:08:48,4.0
2013-08-27 00:08:53,6.0
2013-08-27 00:08:58,2.0
2013-08-27 00:09:03,4.0
2013-08-27 00:09:08,4.0
2013-08-27 00:09:13,5.0
2013-08-27 00:09:18,4.0
2013-08-27 00:09:23,5.0
2013-08-27 00:09:28,4.0
2013-08-27 00:09:33,5.0
2013-08-27 00:09:38,4.0
2013-08-27 00:09:43,4.0
2013-08-27 00:09:48,5.0
2013-08-27 00:09:53,4.0
2013-08-27 00:09:58,4.0
2013-08-27 00:10:03,4.0
2013-08-27 00:10:08,5.0
2013-08-27 00:10:13,4.0
2013-08-27 00:10:18,4.0
2013-08-27 00:10:23,4.0
2013-08-27 00:10:28,4.0
2013-08-27 00:10:33,5.0
2013-08-27 00:10:38,3.0
2013-08-27 00:10:43,5.0
2013-08-27 00:10:48,4.0
2013-08-27 00:10:53,3.0
2013-08-27 00:10:58,4.0
2013-08-27 00:11:03,4.0
2013-08-27 00:11:08,5.0
2013-08-27 00:11:13,5.0
2013-08-27 00:11:18,3.0
2013-08-27 00:11:23,5.0
2013-08-27 00:11:28,5.0
2013-08-27 00:11:33,3.0
2013-08-27 00:11:38,6.0
2013-08-27 00:11:43,4.0
2013-08-27 00:11:48,5.0
2013-08-27 00:11:53,5.0
2013-08-27 00:11:58,5.0
2013-08-27 00:12:03,4.0
2013-08-27 00:12:08,4.0
2013-08-27 00:12:13,4.0
2013-08-27 00:12:18,5.0
2013-08-27 00:12:23,3.0
2013-08-27 00:12:28,4.0
2013-08-27 00:12:33,4.0
2013-08-27 00:12:38,3.0
2013-08-27 00:12:43,5.0
2013-08-27 00:12:48,6.0
2013-08-27 00:12:53,5.0
2013-08-27 00:12:58,4.0
2013-08-27 00:13:03,4.0
2013-08-27 00:13:08,4.0
2013-08-27 00:13:13,4.0
2013-08-27 00:13:18,5.0
2013-08-27 00:13:23,5.0
2013-08-27 00:13:28,5.0
2013-08-27 00:13:33,6.0
2013-08-27 00:13:38,4.0
2013-08-27 00:13:43,5.0
2013-08-27 00:13:48,5.0
2013-08-27 00:13:53,5.0
2013-08-27 00:13:58,5.0
2013-08-27 00:14:03,3.0
2013-08-27 00:14:08,4.0
2013-08-27 00:14:13,4.0
2013-08-27 00:14:18,4.0
2013-08-27 00:14:23,2.0
2013-08-27 00:14:28,5.0
2013-08-27 00:14:33,4.0
2013-08-27 00:14:38,4.0
2013-08-27 00:14:43,5.0
2013-08-27 00:14:48,5.0
2013-08-27 00:14:53,5.0
2013-08-27 00:14:58,5.0
2013-08-27 00:15:03,5.0
2013-08-27 00:15:08,4.0
2013-08-27 00:15:13,4.0
2013-08-27 00:15:18,5.0
2013-08-27 00:15:23,4.0
2013-08-27 00:15:28,4.0
2013-08-27 00:15:33,4.0
2013-08-27 00:15:38,4.0
2013-08-27 00:15:43,4.0
2013-08-27 00:15:48,4.0
2013-08-27 00:15:53,3.0
2013-08-27 00:15:58,3.0
2013-08-27 00:16:03,2.0
2013-08-27 00:16:08,4.0
2013-08-27 00:16:13,4.0
2013-08-27 00:16:18,4.0
2013-08-27 00:16:23,5.0
2013-08-27 00:16:28,4.0
2013-08-27 00:16:33,4.0
2013-08-27 00:16:38,5.0
2013-08-27 00:16:43,5.0
2013-08-27 00:16:48,4.0
2013-08-27 00:16:53,4.0
2013-08-27 00:16:58,5.0
2013-08-27 00:17:03,5.0
2013-08-27 00:17:08,5.0
2013-08-27 00:17:13,4.0
2013-08-27 00:17:18,4.0
2013-08-27 00:17:23,3.0
2013-08-27 00:17:32,4.0
2013-08-27 00:17:33,6.0
2013-08-27 00:17:38,5.0
2013-08-27 00:17:43,5.0
2013-08-27 00:17:48,4.0
2013-08-27 00:17:53,6.0
2013-08-27 00:17:58,5.0
2013-08-27 00:18:03,4.0
2013-08-27 00:18:08,4.0
2013-08-27 00:18:13,4.0
2013-08-27 00:18:18,3.0
2013-08-27 00:18:23,4.0
2013-08-27 00:18:28,5.0
2013-08-27 00:18:33,4.0
2013-08-27 00:18:38,4.0
2013-08-27 00:18:43,5.0
2013-08-27 00:18:48,5.0
2013-08-27 00:18:53,4.0
2013-08-27 00:18:58,4.0
2013-08-27 00:19:03,4.0
2013-08-27 00:19:08,5.0
2013-08-27 00:19:13,5.0
2013-08-27 00:19:18,5.0
2013-08-27 00:19:23,5.0
2013-08-27 00:19:28,5.0
2013-08-27 00:19:33,5.0
2013-08-27 00:19:38,4.0
2013-08-27 00:19:43,4.0
2013-08-27 00:19:48,4.0
2013-08-27 00:19:53,2.0
2013-08-27 00:19:58,2.0
2013-08-27 00:20:03,5.0
2013-08-27 00:20:08,5.0
2013-08-27 00:20:13,5.0
2013-08-27 00:20:18,4.0
2013-08-27 00:20:23,4.0
2013-08-27 00:20:28,4.0
