datetime,Light
2013-08-31 00:00:03,6.0
2013-08-31 00:00:08,6.0
2013-08-31 00:00:13,6.0
2013-08-31 00:00:18,6.0
2013-08-31 00:00:23,5.0
2013-08-31 00:00:28,5.0
2013-08-31 00:00:33,7.0
2013-08-31 00:00:38,6.0
2013-08-31 00:00:43,6.0
2013-08-31 00:00:48,6.0
2013-08-31 00:00:53,6.0
2013-08-31 00:00:58,6.0
2013-08-31 00:01:03,5.0
2013-08-31 00:01:08,5.0
2013-08-31 00:01:13,6.0
2013-08-31 00:01:18,6.0
2013-08-31 00:01:23,6.0
2013-08-31 00:01:28,6.0
2013-08-31 00:01:33,6.0
2013-08-31 00:01:38,5.0
2013-08-31 00:01:43,6.0
2013-08-31 00:01:48,7.0
2013-08-31 00:01:53,6.0
2013-08-31 00:01:58,5.0
2013-08-31 00:02:03,6.0
2013-08-31 00:02:08,6.0
2013-08-31 00:02:13,6.0
2013-08-31 00:02:18,7.0
2013-08-31 00:02:23,6.0
2013-08-31 00:02:28,6.0
2013-08-31 00:02:33,6.0
2013-08-31 00:02:38,7.0
2013-08-31 00:02:43,5.0
2013-08-31 00:02:48,5.0
2013-08-31 00:02:53,6.0
2013-08-31 00:02:58,6.0
2013-08-31 00:03:03,5.0
2013-08-31 00:03:08,5.0
2013-08-31 00:03:13,6.0
2013-08-31 00:03:18,5.0
2013-08-31 00:03:23,6.0
2013-08-31 00:03:28,5.0
2013-08-31 00:03:33,3.0
2013-08-31 00:03:38,4.0
2013-08-31 00:03:43,5.0
2013-08-31 00:03:48,5.0
2013-08-31 00:03:53,6.0
2013-08-31 00:03:58,3.0
2013-08-31 00:04:03,5.0
2013-08-31 00:04:08,5.0
2013-08-31 00:04:13,6.0
2013-08-31 00:04:18,5.0
2013-08-31 00:04:23,5.0
2013-08-31 00:04:28,5.0
2013-08-31 00:04:33,5.0
2013-08-31 00:04:38,5.0
2013-08-31 00:04:43,6.0
2013-08-31 00:04:48,5.0
2013-08-31 00:04:53,4.0
2013-08-31 00:04:58,5.0
2013-08-31 00:05:03,6.0
2013-08-31 00:05:08,5.0
2013-08-31 00:05:13,6.0
2013-08-31 00:05:18,6.0
2013-08-31 00:05:23,6.0
2013-08-31 00:05:28,4.0
2013-08-31 00:05:33,5.0
2013-08-31 00:05:38,6.0
2013-08-31 00:05:43,7.0
2013-08-31 00:05:48,4.0
2013-08-31 00:05:53,5.0
2013-08-31 00:05:58,4.0
2013-08-31 00:06:03,5.0
2013-08-31 00:06:08,5.0
2013-08-31 00:06:13,5.0
2013-08-31 00:06:18,6.0
2013-08-31 00:06:23,6.0
2013-08-31 00:06:28,4.0
2013-08-31 00:06:33,5.0
2013-08-31 00:06:38,5.0
2013-08-31 00:06:43,6.0
2013-08-31 00:06:48,6.0
2013-08-31 00:06:53,6.0
2013-08-31 00:06:58,5.0
2013-08-31 00:07:03,5.0
2013-08-31 00:07:08,6.0
2013-08-31 00:07:13,5.0
2013-08-31 00:07:18,5.0
2013-08-31 00:07:23,6.0
2013-08-31 00:07:28,5.0
2013-08-31 00:07:33,4.0
2013-08-31 00:07:38,4.0
2013-08-31 00:07:43,5.0
2013-08-31 00:07:48,5.0
2013-08-31 00:07:53,7.0
2013-08-31 00:07:58,6.0
2013-08-31 00:08:03,2.0
2013-08-31 00:08:08,5.0
2013-08-31 00:08:13,4.0
2013-08-31 00:08:18,6.0
2013-08-31 00:08:23,6.0
2013-08-31 00:08:28,5.0
2013-08-31 00:08:33,5.0
2013-08-31 00:08:38,6.0
2013-08-31 00:08:43,4.0
2013-08-31 00:08:48,5.0
2013-08-31 00:08:53,5.0
2013-08-31 00:08:58,5.0
2013-08-31 00:09:03,5.0
2013-08-31 00:09:08,6.0
2013-08-31 00:09:13,6.0
2013-08-31 00:09:18,6.0
2013-08-31 00:09:23,5.0
2013-08-31 00:09:28,5.0
2013-08-31 00:09:33,6.0
2013-08-31 00:09:38,4.0
2013-08-31 00:09:43,5.0
2013-08-31 00:09:48,5.0
2013-08-31 00:09:53,6.0
2013-08-31 00:09:58,6.0
2013-08-31 00:10:03,5.0
2013-08-31 00:10:08,6.0
2013-08-31 00:10:13,7.0
2013-08-31 00:10:18,6.0
2013-08-31 00:10:23,4.0
2013-08-31 00:10:28,5.0
2013-08-31 00:10:33,6.0
2013-08-31 00:10:38,5.0
2013-08-31 00:10:43,6.0
2013-08-31 00:10:48,5.0
2013-08-31 00:10:53,3.0
2013-08-31 00:10:58,5.0
2013-08-31 00:11:03,5.0
2013-08-31 00:11:08,5.0
2013-08-31 00:11:13,4.0
2013-08-31 00:11:18,5.0
2013-08-31 00:11:23,5.0
2013-08-31 00:11:28,6.0
2013-08-31 00:11:33,6.0
2013-08-31 00:11:38,3.0
2013-08-31 00:11:43,5.0
2013-08-31 00:11:48,6.0
2013-08-31 00:11:53,5.0
2013-08-31 00:11:58,6.0
2013-08-31 00:12:03,5.0
2013-08-31 00:12:08,6.0
2013-08-31 00:12:13,5.0
2013-08-31 00:12:18,5.0
2013-08-31 00:12:23,4.0
2013-08-31 00:12:28,5.0
2013-08-31 00:12:33,5.0
2013-08-31 00:12:38,6.0
2013-08-31 00:12:43,5.0
2013-08-31 00:12:48,5.0
2013-08-31 00:12:53,6.0
2013-08-31 00:12:58,5.0
2013-08-31 00:13:03,4.0
2013-08-31 00:13:08,4.0
2013-08-31 00:13:13,4.0
2013-08-31 00:13:18,5.0
2013-08-31 00:13:23,4.0
2013-08-31 00:13:28,5.0
2013-08-31 00:13:33,4.0
2013-08-31 00:13:38,5.0
2013-08-31 00:13:43,6.0
2013-08-31 00:13:48,6.0
2013-08-31 00:13:53,6.0
2013-08-31 00:13:58,6.0
2013-08-31 00:14:03,5.0
2013-08-31 00:14:08,7.0
2013-08-31 00:14:13,7.0
2013-08-31 00:14:18,6.0
2013-08-31 00:14:23,6.0
2013-08-31 00:14:28,6.0
2013-08-31 00:14:33,5.0
2013-08-31 00:14:38,6.0
2013-08-31 00:14:43,6.0
2013-08-31 00:14:48,6.0
2013-08-31 00:14:53,6.0
2013-08-31 00:14:58,6.0
2013-08-31 00:15:03,6.0
2013-08-31 00:15:08,6.0
2013-08-31 00:15:13,4.0
