dt,co2_raw,co2_score,light_score,pir_score,fused_score,occupied
2013-08-23 21:20:00,,,,0.0,,0.0
2013-08-23 21:30:00,,,,0.0,,0.0
2013-08-23 21:40:00,,,,0.0,,0.0
2013-08-23 21:50:00,,,,0.0,,0.0
2013-08-23 22:00:00,,,,0.0,,0.0
2013-08-23 22:10:00,,,,0.0,,0.0
2013-08-23 22:20:00,,,,0.0,,0.0
2013-08-23 22:30:00,,,,0.0,,0.0
2013-08-23 22:40:00,,,,0.0,,0.0
2013-08-23 22:50:00,,,,0.0,,0.0
2013-08-23 23:00:00,517.9122807017544,0.4844689801945879,0.12066006151963694,0.0,0.4451693405071965,1.0
2013-08-23 23:10:00,529.8833333333333,0.5728015643158881,0.14207297384565698,0.0,0.42094096017979277,1.0
2013-08-23 23:20:00,539.0166666666667,0.6401950475628273,0.14624367667635346,0.0,0.42608705591565865,1.0
2013-08-23 23:30:00,548.4916666666667,0.7101096373910847,0.18068560972984607,0.0,0.42082603459903617,1.0
2013-08-23 23:40:00,551.5416666666666,0.7326151254096791,0.27499730922398,0.0,0.43729728515258115,1.0
2013-08-23 23:50:00,543.725,0.6749371260614778,0.2783607792487353,0.0,0.4162549420232153,1.0
2013-08-24 00:00:00,544.6333333333333,0.6816395801435181,0.21620385319126015,0.0,0.37620354806721645,1.0
2013-08-24 00:10:00,540.3666666666667,0.6501564930792546,0.22064363362393702,0.0,0.3488416085390245,1.0
2013-08-24 00:20:00,536.2916666666666,0.6200876853167057,0.2018082014853083,0.0,0.3104924879265615,1.0
2013-08-24 00:30:00,530.8166666666667,0.5796884896111962,0.2589871919061456,0.0,0.2903273043242649,0.0
2013-08-24 00:40:00,526.3083333333333,0.5464221808186825,0.28858572812399075,0.0,0.2609824378649737,0.0
2013-08-24 00:50:00,519.1833333333333,0.4938478850375392,0.3896243676676353,0.0,0.2807212499415199,0.0
2013-08-24 01:00:00,511.35833333333335,0.43610839528491563,0.723953288128296,0.0,0.37291269583743236,1.0
2013-08-24 01:10:00,501.4583333333333,0.3630577948311163,0.9119039931116129,0.0,0.43609132395430505,1.0
2013-08-24 01:20:00,491.675,0.2908680600392308,1.0,0.0,0.4520104287725899,1.0
2013-08-24 01:30:00,487.825,0.2624594931960865,1.0,0.0,0.43158331642347214,1.0
2013-08-24 01:40:00,481.7083333333333,0.21732553635005233,1.0,0.0,0.4396324103623628,1.0
2013-08-24 01:50:00,481.06666666666666,0.2125907752095284,1.0,0.0,0.43814348997729646,1.0
2013-08-24 02:00:00,477.39166666666665,0.1854735068592544,1.0,0.0,0.4274573102867296,1.0
2013-08-24 02:10:00,472.35833333333335,0.14833330258813118,1.0,0.0,0.4093299390630092,1.0
2013-08-24 02:20:00,474.34166666666664,0.16296801884065965,0.8204176084382732,0.0,0.3535444240047585,1.0
2013-08-24 02:30:00,473.97478991596637,0.1602608908678118,0.5981595092024538,0.0,0.26423283716361323,1.0
2013-08-24 02:40:00,471.34166666666664,0.1408314732485993,0.3308309116349154,0.0,0.16828917420390205,1.0
2013-08-24 02:50:00,466.875,0.10787261647819854,0.09848240232483045,0.0,0.10086710186505361,0.0
2013-08-24 03:00:00,468.6166666666667,0.12072411100247808,0.05838983962974919,0.0,0.08517753852259165,0.0
2013-08-24 03:10:00,465.77777777777777,0.09977637989591717,0.04762673555053275,0.0,0.05783810555954273,0.0
2013-08-24 03:20:00,465.19166666666666,0.09545155478487577,0.047223119147562144,0.0,0.05641169036607509,0.0
2013-08-24 03:30:00,468.6166666666667,0.12072411100247808,0.046954041545581734,0.0,0.06020678128509825,0.0
2013-08-24 03:40:00,468.2083333333333,0.11771108118578077,0.0464158863416209,0.0,0.05447199248481237,0.0
2013-08-24 03:50:00,462.4,0.07485226930337503,0.04762673555053275,0.0,0.0549296094303638,0.0
2013-08-24 04:00:00,462.0833333333333,0.07251563393532424,0.049241201162415225,0.0,0.044232704824562055,0.0
2013-08-24 04:10:00,463.0416666666667,0.07958703044389935,0.0464158863416209,0.0,0.032556812348672484,0.0
2013-08-24 04:20:00,461.675,0.06950260411862737,0.04587773113766008,0.0,0.03595334860511173,0.0
2013-08-24 04:30:00,461.68333333333334,0.0695640945230497,0.04883758475944461,0.0,0.0353321309735528,0.0
2013-08-24 04:40:00,458.90833333333336,0.04908778985039405,0.04668496394360131,0.0,0.05172531296119115,0.0
2013-08-24 04:50:00,456.275,0.029656822052918492,0.0488375847594446,0.0,0.038511184882190456,0.0
2013-08-24 05:00:00,457.15833333333336,0.03617480492169218,0.04722311914756214,0.0,0.034631789119664566,0.0
2013-08-24 05:10:00,456.75,0.033161775104994885,0.04385964912280701,0.0,0.031290112375332274,0.0
2013-08-24 05:20:00,460.975,0.0643374101471467,0.04749219674954255,0.0,0.03628167351224437,0.0
2013-08-24 05:30:00,457.53333333333336,0.03894187312069972,0.0465504251426111,0.0,0.04214106265493182,0.0
2013-08-24 05:40:00,456.71666666666664,0.03291581348730513,0.04897212356043481,0.0,0.03338385593039279,0.0
2013-08-24 05:50:00,456.18333333333334,0.0289804276042724,0.04722311914756214,0.0,0.02654887545834162,0.0
2013-08-24 06:00:00,457.1,0.03574437209073542,0.04493595953072864,0.0,0.015771551474916993,0.0
2013-08-24 06:10:00,458.625,0.0469971161000326,0.04574319233666988,0.0,0.016010117317834457,0.0
2013-08-24 06:20:00,456.2583333333333,0.029533841244073825,0.04520503713270905,0.0,0.021716540616400513,0.0
2013-08-24 06:30:00,454.725,0.01821960683035432,0.04493595953072864,0.0,0.03301960991539735,0.0
2013-08-24 06:40:00,452.26666666666665,7.993752574903409e-05,0.04708858034657193,0.0,0.03076307190446648,0.0
2013-08-24 06:50:00,451.93333333333334,0.0,0.04910666236142502,0.0,0.035054291187490594,0.0
2013-08-24 07:00:00,453.7083333333333,0.01071777749082245,0.047357657948552345,0.0,0.02737381765463141,0.0
2013-08-24 07:10:00,456.51666666666665,0.031440043781167853,0.05022297079126267,0.0,0.04061941667007778,0.0
2013-08-24 07:20:00,455.775,0.025967397787575102,0.0461468087396405,0.0,0.039598596621197885,0.0
2013-08-24 07:30:00,456.65833333333336,0.03248538065634879,0.04681950274459152,0.0,0.03672262505915765,0.0
2013-08-24 07:40:00,454.9166666666667,0.019633886132069255,0.0488375847594446,0.0,0.02765505398141748,0.0
2013-08-24 07:50:00,457.93333333333334,0.04189341253297427,0.0462813475406307,0.0,0.025982517338889403,0.0
2013-08-24 08:00:00,458.03333333333336,0.04263129738604311,0.04789581315251316,0.0,0.03821538454219674,0.0
2013-08-24 08:10:00,457.26666666666665,0.03697418017918294,0.04991389516736624,0.0,0.028741976795268707,0.0
2013-08-24 08:20:00,454.85833333333335,0.0192034533011125,0.05058658917231727,0.0,0.030228749426996986,0.0
2013-08-24 08:30:00,454.6666666666667,0.01778917399939756,0.046146808739640485,0.0,0.03110984629068684,0.0
2013-08-24 08:40:00,457.5416666666667,0.039003363525122056,0.04735765794855234,0.0,0.032920252133531,0.0
2013-08-24 08:50:00,455.03333333333336,0.02049475179398277,0.05072112797330749,0.0,0.01979172405332617,0.0
2013-08-24 09:00:00,455.34166666666664,0.022769896757610802,0.04762673555053275,0.0,0.02283819143407318,0.0
2013-08-24 09:10:00,455.94166666666666,0.027197205876023037,0.04655042514261112,0.0,0.02140957280392302,0.0
2013-08-24 09:20:00,456.28333333333336,0.029718312457341245,0.049241201162415225,0.0,0.020964735791129677,0.0
2013-08-24 09:30:00,452.7583333333333,0.0037078713866700906,0.04964481756538583,0.0,0.0205310662508201,0.0
2013-08-24 09:40:00,453.7758620689655,0.01121606180252131,0.05121858236352337,0.0,0.01800428918882743,0.0
2013-08-24 09:50:00,453.51666666666665,0.009303498189107511,0.046684963943601304,0.0,0.016339737380260455,0.0
2013-08-24 10:00:00,453.175,0.006782391607789723,0.048164890754493574,0.0,0.031207419992103858,0.0
2013-08-24 10:10:00,453.03333333333336,0.005737054732609207,0.04749219674954255,0.0,0.016622268862339893,0.0
2013-08-24 10:20:00,452.275,0.000141427930171368,0.04897212356043481,0.0,0.01826644000314838,0.0
2013-08-24 10:30:00,451.4,0.0,0.045877731137660076,0.0,0.022966575191102803,0.0
2013-08-24 10:40:00,455.7916666666667,0.02609037859642019,0.04829942955548378,0.0,0.019113228219249524,0.0
2013-08-24 10:50:00,450.2916666666667,0.0,0.04762673555053275,0.0,0.022259757560748022,0.0
2013-08-24 11:00:00,452.53333333333336,0.0020476304672658167,0.052335593585189945,0.0,0.027661847062864987,0.0
2013-08-24 11:10:00,453.9583333333333,0.012562489623494145,0.050048433968356454,0.0,0.017516951888924756,0.0
2013-08-24 11:20:00,452.8,0.0040153234087821794,0.04789581315251317,0.0,0.02130552332603946,0.0
2013-08-24 11:30:00,453.6333333333333,0.010164363851021024,0.04735765794855234,0.0,0.016575180281993316,0.0
2013-08-24 11:40:00,454.55833333333334,0.01698979874190638,0.048703045958454406,0.0,0.01704606608545904,0.0
2013-08-24 11:50:00,451.975,0.0,0.04547411473468946,0.0,0.01591594015714131,0.0
2013-08-24 12:00:00,453.375,0.008258161313926995,0.047223119147562144,0.0,0.01652809170164675,0.0
2013-08-24 12:10:00,452.0,0.0,0.04695404154558172,0.0,0.016433914540953602,0.0
2013-08-24 12:20:00,450.4916666666667,0.0,0.04614680873964049,0.0,0.01615138305887417,0.0
2013-08-24 12:30:00,451.4,0.0,0.04291787751587556,0.0,0.015021257130556444,0.0
2013-08-24 12:40:00,451.9583333333333,0.0,0.04157248950597351,0.0,0.014560517243820412,0.0
2013-08-24 12:50:00,449.6,0.0,0.042648799913895155,0.0,0.014927079969863304,0.0
2013-08-24 13:00:00,450.7,0.0,0.04184156710795391,0.0,0.01464454848778387,0.0
2013-08-24 13:10:00,450.4,0.0,0.03807448068022816,0.0,0.013326068238079854,0.0
2013-08-24 13:20:00,452.2583333333333,1.8447121326700177e-05,0.038343558282208576,0.0,0.013420245398773002,0.0
2013-08-24 13:30:00,449.05833333333334,0.0,0.04224518351092454,0.0,0.014785814228823586,0.0
2013-08-24 13:40:00,450.53333333333336,0.0,0.05435367560004304,0.0,0.019304490156203245,0.0
2013-08-24 13:50:00,447.7583333333333,0.0,0.06470637980733138,0.0,0.02264723293256598,0.0
2013-08-24 14:00:00,448.2416666666667,0.0,0.0928317726832418,0.0,0.03249112043913463,0.0
2013-08-24 14:10:00,447.51666666666665,0.0,0.1264664729307932,0.0,0.04426326552577761,0.0
2013-08-24 14:20:00,452.325,0.000510370356705791,0.20032827467441602,0.0,0.0701148961360456,0.0
2013-08-24 14:30:00,449.53333333333336,0.0,0.3071520826606392,0.0,0.10750322893122372,0.0
2013-08-24 14:40:00,448.4916666666667,0.0,0.399983855343881,0.0,0.13999434937035835,0.0
2013-08-24 14:50:00,443.95,0.0,0.47349763523039695,0.0,0.16572417233063894,0.0
2013-08-24 15:00:00,447.06666666666666,0.0,0.47909267032612185,0.0,0.17120983166383305,0.0
2013-08-24 15:10:00,450.01666666666665,0.0,0.42621892153697116,0.0,0.1491766225379399,0.0
2013-08-24 15:20:00,448.725,0.0,0.5591432569152941,0.0,0.19570013992035293,0.0
2013-08-24 15:30:00,451.98333333333335,0.0,0.6685233021203313,0.0,0.23398315574211592,0.0
2013-08-24 15:40:00,453.125,0.0064134491812553,0.9818641696265199,0.0,0.34365245936928196,0.0
2013-08-24 15:50:00,449.25,0.0,1.0,0.0,0.35,1.0
2013-08-24 16:00:00,450.90833333333336,0.0,0.9943762781186091,0.0,0.35395063190606013,1.0
2013-08-24 16:10:00,449.5652173913044,0.0,0.28818211172102015,0.0,0.10702907450176789,1.0
2013-08-24 16:20:00,449.1166666666667,0.0,0.2935636637606285,0.0,0.11557510303479691,1.0
2013-08-24 16:30:00,448.85833333333335,0.0,0.8174577548164889,0.0,0.30326695937568426,0.0
2013-08-24 16:40:00,453.7142857142857,0.010761699208267214,0.8580884727155308,0.0,0.32729543014572,0.0
2013-08-24 16:50:00,453.775,0.01120970072620154,0.8691206543967276,0.0,0.3348768632016935,0.0
2013-08-24 17:00:00,455.4166666666667,0.023323310397412648,0.8779809954333684,0.0,0.33872201645802874,0.0
2013-08-24 17:10:00,456.48333333333335,0.03119408216347852,0.8702252887627524,0.0,0.34608579640814285,0.0
2013-08-24 17:20:00,458.9,0.0490262994459713,0.6872241954579698,0.0,0.31162767087974397,0.0
2013-08-24 17:30:00,459.81666666666666,0.055790243932434314,0.5117855989667419,0.0,0.2534032160164519,0.0
2013-08-24 17:40:00,460.0,0.05714303282972692,0.5459335816987431,0.0,0.2702250500029055,0.0
2013-08-24 17:50:00,462.48333333333335,0.07546717334759921,0.8732913572274239,0.0,0.4002897043119438,1.0
2013-08-24 18:00:00,469.775,0.12927127721719003,0.6702723065332039,0.0,0.34360641860270047,1.0
2013-08-24 18:10:00,470.55833333333334,0.13505137523289487,0.9186467612553575,0.0,0.45407600456834507,1.0
2013-08-24 18:20:00,471.7583333333333,0.14390599346971894,0.9390808309116346,0.0,0.4568651847542734,1.0
2013-08-24 18:30:00,475.575,0.17206859869517346,0.9521310946076846,0.0,0.47066556127191284,1.0
2013-08-24 18:40:00,479.1166666666667,0.19820202057468927,0.9768862339898824,0.0,0.4698603377746341,1.0
2013-08-24 18:50:00,484.9166666666667,0.2409993420526727,1.0,0.0,0.4911060279043453,1.0
2013-08-24 19:00:00,483.84166666666664,0.23306707988218406,1.0,0.0,0.47893092782871216,1.0
2013-08-24 19:10:00,486.1166666666667,0.24985396028949675,1.0,0.0,0.48400388619355933,1.0
2013-08-24 19:20:00,483.78333333333336,0.23263664705122772,1.0,0.0,0.4816026859008651,1.0
2013-08-24 19:30:00,487.025,0.25655641437153703,1.0,0.0,0.485255215923555,1.0
2013-08-24 19:40:00,484.025,0.23441986877947668,1.0,0.0,0.47243754112170794,1.0
2013-08-24 19:50:00,485.275,0.24364342944283515,1.0,0.0,0.4672969433119962,1.0
2013-08-24 20:00:00,484.68333333333334,0.23927761072884568,1.0,0.0,0.4464639942936903,1.0
2013-08-24 20:10:00,485.5833333333333,0.2459185744064636,1.0,0.0,0.46601179385956804,1.0
2013-08-24 20:20:00,482.425,0.22261371113037806,1.0,0.0,0.47172732695062924,1.0
2013-08-24 20:30:00,481.15833333333336,0.21326716965817494,1.0,0.0,0.49029435456596987,1.0
