datetime,Light
2013-08-30 00:00:04,3.0
2013-08-30 00:00:09,3.0
2013-08-30 00:00:14,3.0
2013-08-30 00:00:19,4.0
2013-08-30 00:00:24,4.0
2013-08-30 00:00:29,4.0
2013-08-30 00:00:34,3.0
2013-08-30 00:00:39,4.0
2013-08-30 00:00:44,5.0
2013-08-30 00:00:50,3.0
2013-08-30 00:00:55,4.0
2013-08-30 00:00:59,3.0
2013-08-30 00:01:04,4.0
2013-08-30 00:01:10,1.0
2013-08-30 00:01:14,4.0
2013-08-30 00:01:20,2.0
2013-08-30 00:01:24,4.0
2013-08-30 00:01:29,3.0
2013-08-30 00:01:34,3.0
2013-08-30 00:01:39,3.0
2013-08-30 00:01:44,4.0
2013-08-30 00:01:49,3.0
2013-08-30 00:01:54,4.0
2013-08-30 00:02:00,4.0
2013-08-30 00:02:05,3.0
2013-08-30 00:02:09,1.0
2013-08-30 00:02:14,3.0
2013-08-30 00:02:19,3.0
2013-08-30 00:02:24,3.0
2013-08-30 00:02:30,4.0
2013-08-30 00:02:34,3.0
2013-08-30 00:02:39,3.0
2013-08-30 00:02:44,4.0
2013-08-30 00:02:49,3.0
2013-08-30 00:02:54,4.0
2013-08-30 00:03:00,4.0
2013-08-30 00:03:04,4.0
2013-08-30 00:03:09,3.0
2013-08-30 00:03:14,4.0
2013-08-30 00:03:19,4.0
2013-08-30 00:03:24,3.0
2013-08-30 00:03:29,4.0
2013-08-30 00:03:34,2.0
2013-08-30 00:03:39,5.0
2013-08-30 00:03:44,4.0
2013-08-30 00:03:49,4.0
2013-08-30 00:03:54,3.0
2013-08-30 00:03:59,4.0
2013-08-30 00:04:04,3.0
2013-08-30 00:04:09,2.0
2013-08-30 00:04:15,2.0
2013-08-30 00:04:20,3.0
2013-08-30 00:04:24,4.0
2013-08-30 00:04:29,3.0
2013-08-30 00:04:34,4.0
2013-08-30 00:04:39,3.0
2013-08-30 00:04:44,4.0
2013-08-30 00:04:49,3.0
2013-08-30 00:04:54,4.0
2013-08-30 00:04:59,4.0
2013-08-30 00:05:04,4.0
2013-08-30 00:05:09,2.0
2013-08-30 00:05:15,3.0
2013-08-30 00:05:20,3.0
2013-08-30 00:05:24,3.0
2013-08-30 00:05:29,2.0
2013-08-30 00:05:34,4.0
2013-08-30 00:05:39,4.0
2013-08-30 00:05:44,3.0
2013-08-30 00:05:49,3.0
2013-08-30 00:05:54,3.0
2013-08-30 00:05:59,4.0
2013-08-30 00:06:04,3.0
2013-08-30 00:06:09,4.0
2013-08-30 00:06:14,3.0
2013-08-30 00:06:19,3.0
2013-08-30 00:06:24,3.0
2013-08-30 00:06:30,3.0
2013-08-30 00:06:34,4.0
2013-08-30 00:06:39,4.0
2013-08-30 00:06:44,4.0
2013-08-30 00:06:49,3.0
2013-08-30 00:06:54,3.0
2013-08-30 00:06:59,4.0
2013-08-30 00:07:04,3.0
2013-08-30 00:07:09,0.0
2013-08-30 00:07:14,4.0
2013-08-30 00:07:19,3.0
2013-08-30 00:07:24,4.0
2013-08-30 00:07:29,3.0
2013-08-30 00:07:34,3.0
2013-08-30 00:07:39,3.0
2013-08-30 00:07:44,2.0
2013-08-30 00:07:49,3.0
2013-08-30 00:07:54,3.0
2013-08-30 00:07:59,4.0
2013-08-30 00:08:04,4.0
2013-08-30 00:08:09,3.0
2013-08-30 00:08:14,4.0
2013-08-30 00:08:19,2.0
2013-08-30 00:08:24,3.0
2013-08-30 00:08:29,4.0
2013-08-30 00:08:35,3.0
2013-08-30 00:08:39,1.0
2013-08-30 00:08:44,3.0
2013-08-30 00:08:49,3.0
2013-08-30 00:08:54,4.0
2013-08-30 00:08:59,4.0
2013-08-30 00:09:04,5.0
2013-08-30 00:09:09,4.0
2013-08-30 00:09:14,5.0
2013-08-30 00:09:19,5.0
2013-08-30 00:09:24,5.0
2013-08-30 00:09:29,3.0
2013-08-30 00:09:34,2.0
2013-08-30 00:09:39,3.0
2013-08-30 00:09:44,3.0
2013-08-30 00:09:49,3.0
2013-08-30 00:09:54,3.0
2013-08-30 00:09:59,2.0
2013-08-30 00:10:04,2.0
2013-08-30 00:10:09,3.0
2013-08-30 00:10:14,2.0
2013-08-30 00:10:19,3.0
2013-08-30 00:10:24,3.0
2013-08-30 00:10:29,3.0
2013-08-30 00:10:34,4.0
2013-08-30 00:10:39,4.0
2013-08-30 00:10:44,4.0
2013-08-30 00:10:49,4.0
2013-08-30 00:10:54,3.0
2013-08-30 00:10:59,3.0
2013-08-30 00:11:04,4.0
2013-08-30 00:11:09,3.0
2013-08-30 00:11:14,4.0
2013-08-30 00:11:19,2.0
2013-08-30 00:11:24,3.0
2013-08-30 00:11:29,4.0
2013-08-30 00:11:34,4.0
2013-08-30 00:11:39,4.0
2013-08-30 00:11:44,3.0
2013-08-30 00:11:49,2.0
2013-08-30 00:11:54,3.0
2013-08-30 00:11:59,4.0
