datetime,CO2
2013-08-24 00:00:00,457.0
2013-08-24 00:00:05,453.0
2013-08-24 00:00:09,458.0
2013-08-24 00:00:15,453.0
2013-08-24 00:00:20,453.0
2013-08-24 00:00:25,458.0
2013-08-24 00:00:30,458.0
2013-08-24 00:00:35,453.0
2013-08-24 00:00:40,450.0
2013-08-24 00:00:45,448.0
2013-08-24 00:00:50,453.0
2013-08-24 00:00:54,453.0
2013-08-24 00:01:00,458.0
2013-08-24 00:01:04,453.0
2013-08-24 00:01:10,456.0
2013-08-24 00:01:14,453.0
2013-08-24 00:01:20,462.0
2013-08-24 00:01:24,464.0
2013-08-24 00:01:30,469.0
2013-08-24 00:01:34,462.0
2013-08-24 00:01:40,465.0
2013-08-24 00:01:45,464.0
2013-08-24 00:01:50,458.0
2013-08-24 00:01:55,453.0
2013-08-24 00:02:00,453.0
2013-08-24 00:02:05,453.0
2013-08-24 00:02:10,453.0
2013-08-24 00:02:15,456.0
2013-08-24 00:02:20,453.0
2013-08-24 00:02:25,456.0
2013-08-24 00:02:30,458.0
2013-08-24 00:02:35,464.0
2013-08-24 00:02:40,455.0
2013-08-24 00:02:45,458.0
2013-08-24 00:02:50,453.0
2013-08-24 00:02:55,453.0
2013-08-24 00:03:00,458.0
2013-08-24 00:03:05,463.0
2013-08-24 00:03:10,469.0
2013-08-24 00:03:15,474.0
2013-08-24 00:03:20,468.0
2013-08-24 00:03:25,458.0
2013-08-24 00:03:30,452.0
2013-08-24 00:03:35,453.0
2013-08-24 00:03:40,453.0
2013-08-24 00:03:45,453.0
2013-08-24 00:03:50,453.0
2013-08-24 00:03:55,453.0
2013-08-24 00:04:00,453.0
2013-08-24 00:04:05,450.0
2013-08-24 00:04:10,446.0
2013-08-24 00:04:15,444.0
2013-08-24 00:04:20,445.0
2013-08-24 00:04:25,453.0
2013-08-24 00:04:30,453.0
2013-08-24 00:04:35,458.0
2013-08-24 00:04:40,458.0
2013-08-24 00:04:45,455.0
2013-08-24 00:04:50,455.0
2013-08-24 00:04:55,465.0
2013-08-24 00:05:00,469.0
2013-08-24 00:05:05,468.0
2013-08-24 00:05:10,466.0
2013-08-24 00:05:15,465.0
