Date,Optimal_Lag_Minutes,Correlation_Score
2013-08-23,14,0.2554
2013-08-24,48,0.0377
2013-08-25,20,0.0454
2013-08-26,9,0.0638
2013-08-27,17,0.0432
2013-08-28,39,0.0527
2013-08-29,14,0.0541
2013-08-30,3,0.1443
2013-08-31,2,0.0301
