Date,Optimal_Lag_Minutes,Correlation_Score
2013-08-23,3,0.1935
2013-08-24,46,0.0549
2013-08-25,15,0.0372
2013-08-26,55,0.0478
2013-08-27,52,0.0643
2013-08-28,43,0.05
2013-08-29,20,0.0437
2013-08-30,0,0.0735
2013-08-31,0,0.0675
