Date,Optimal_Lag_Minutes,Correlation_Score
2013-08-23,41,0.3556
2013-08-24,0,0.0609
2013-08-25,23,0.0416
2013-08-26,1,0.0623
2013-08-27,0,0.2478
2013-08-28,15,0.0279
2013-08-29,45,0.0257
2013-08-30,31,0.201
2013-08-31,0,0.094
