Date,Optimal_Lag_Minutes,Correlation_Score
2013-08-23,36,0.1914
2013-08-24,58,0.0713
2013-08-25,44,0.0451
2013-08-26,18,0.0418
2013-08-27,6,0.0671
2013-08-28,22,0.0359
2013-08-29,21,0.0507
2013-08-30,44,0.0935
2013-08-31,6,0.0517
