Date,Optimal_Lag_Minutes,Correlation_Score
2013-08-23,39,0.2266
2013-08-24,17,0.0608
2013-08-25,12,0.0572
2013-08-26,38,0.0906
2013-08-27,6,0.0316
2013-08-28,49,0.079
2013-08-29,4,0.0676
2013-08-30,29,0.0666
2013-08-31,0,0.052
