Date,Optimal_Lag_Minutes,Correlation_Score
2013-08-23,39,0.3658
2013-08-24,16,0.0924
2013-08-25,56,0.0515
2013-08-26,44,0.1011
2013-08-27,25,0.0753
2013-08-28,16,0.0699
2013-08-29,38,0.0777
2013-08-30,4,0.1042
2013-08-31,3,0.0563
