Date,Optimal_Lag_Minutes,Correlation_Score
2013-08-23,9,0.197
2013-08-24,15,0.0638
2013-08-25,22,0.0779
2013-08-26,48,0.068
2013-08-27,31,0.0409
2013-08-28,20,0.1169
2013-08-29,56,0.0394
2013-08-30,0,0.1212
2013-08-31,7,0.0773
