Date,Optimal_Lag_Minutes,Correlation_Score
2013-08-23,10,0.5613
2013-08-24,56,0.0725
2013-08-25,48,0.0693
2013-08-26,48,0.0512
2013-08-27,55,0.071
2013-08-28,0,0.0618
2013-08-29,1,0.0608
2013-08-30,50,0.0563
2013-08-31,29,0.0721
2013-09-01,7,0.4762
