Date,Optimal_Lag_Minutes,Correlation_Score
2013-08-23,57,0.2789
2013-08-24,1,0.0727
2013-08-25,10,0.0592
2013-08-26,1,0.1055
2013-08-27,51,0.0684
2013-08-28,0,0.0791
2013-08-29,53,0.0366
2013-08-30,16,0.0894
2013-08-31,1,0.1292
