Date,Optimal_Lag_Minutes,Correlation_Score
2013-08-23,29,0.4147
2013-08-24,59,0.0579
2013-08-25,52,0.0599
2013-08-26,54,0.0722
2013-08-27,41,0.0458
2013-08-28,2,0.2353
2013-08-29,2,0.0584
2013-08-30,17,0.0619
2013-08-31,46,0.07
