Date,Optimal_Lag_Minutes,Correlation_Score
2013-08-23,26,0.3316
2013-08-24,4,0.0981
2013-08-25,19,0.067
2013-08-26,16,0.1089
2013-08-27,14,0.0976
2013-08-28,3,0.2084
2013-08-29,4,0.1392
2013-08-30,26,0.0707
2013-08-31,1,0.0627
