Date,Optimal_Lag_Minutes,Correlation_Score
2013-08-23,35,0.2836
2013-08-24,50,0.0562
2013-08-25,21,0.056
2013-08-26,39,0.0665
2013-08-27,3,0.1268
2013-08-28,14,0.0826
2013-08-29,50,0.0739
2013-08-30,33,0.0785
2013-08-31,20,0.0607
