Date,Optimal_Lag_Minutes,Correlation_Score
2013-08-23,57,0.2037
2013-08-24,46,0.1152
2013-08-25,9,0.0412
2013-08-26,60,0.0852
2013-08-27,24,0.2121
2013-08-28,3,0.0713
2013-08-29,13,0.1395
2013-08-30,0,0.0882
2013-08-31,42,0.0631
