Date,Optimal_Lag_Minutes,Correlation_Score
2013-08-23,20,0.3522
2013-08-24,50,0.0573
2013-08-25,35,0.0614
2013-08-26,28,0.0632
2013-08-27,31,0.0703
2013-08-28,15,0.0425
2013-08-29,53,0.0301
2013-08-30,1,0.1142
2013-08-31,43,0.0524
