Date,Optimal_Lag_Minutes,Correlation_Score
2013-08-23,38,0.2738
2013-08-24,55,0.0362
2013-08-25,34,0.045
2013-08-26,50,0.0561
2013-08-27,34,0.0654
2013-08-28,50,0.0791
2013-08-29,30,0.0337
2013-08-30,46,0.0389
2013-08-31,48,0.0646
