datetime,CO2
2013-08-31 00:00:04,417.0
2013-08-31 00:00:09,410.0
2013-08-31 00:00:14,403.0
2013-08-31 00:00:19,404.0
2013-08-31 00:00:24,404.0
2013-08-31 00:00:29,404.0
2013-08-31 00:00:34,411.0
2013-08-31 00:00:39,403.0
2013-08-31 00:00:44,403.0
2013-08-31 00:00:49,402.0
2013-08-31 00:00:54,404.0
2013-08-31 00:00:59,409.0
2013-08-31 00:01:05,413.0
2013-08-31 00:01:09,411.0
2013-08-31 00:01:14,417.0
2013-08-31 00:01:19,413.0
2013-08-31 00:01:24,406.0
2013-08-31 00:01:29,399.0
2013-08-31 00:01:38,397.0
2013-08-31 00:01:39,404.0
2013-08-31 00:01:44,403.0
2013-08-31 00:01:49,402.0
2013-08-31 00:01:54,408.0
2013-08-31 00:01:59,413.0
2013-08-31 00:02:04,411.0
2013-08-31 00:02:09,416.0
2013-08-31 00:02:14,410.0
2013-08-31 00:02:19,405.0
2013-08-31 00:02:24,406.0
2013-08-31 00:02:29,407.0
2013-08-31 00:02:34,410.0
2013-08-31 00:02:39,413.0
2013-08-31 00:02:44,410.0
2013-08-31 00:02:49,410.0
2013-08-31 00:02:54,404.0
2013-08-31 00:02:59,409.0
2013-08-31 00:03:04,403.0
2013-08-31 00:03:09,408.0
2013-08-31 00:03:14,413.0
2013-08-31 00:03:19,410.0
2013-08-31 00:03:24,413.0
2013-08-31 00:03:29,407.0
2013-08-31 00:03:34,409.0
2013-08-31 00:03:39,406.0
2013-08-31 00:03:44,409.0
2013-08-31 00:03:49,402.0
2013-08-31 00:03:54,397.0
2013-08-31 00:03:59,400.0
2013-08-31 00:04:04,397.0
2013-08-31 00:04:09,395.0
2013-08-31 00:04:14,397.0
2013-08-31 00:04:19,397.0
2013-08-31 00:04:24,395.0
2013-08-31 00:04:29,399.0
2013-08-31 00:04:34,408.0
2013-08-31 00:04:39,406.0
2013-08-31 00:04:44,411.0
2013-08-31 00:04:49,417.0
2013-08-31 00:04:54,416.0
