datetime,CO2
2013-08-24 00:00:00,384.0
2013-08-24 00:00:04,383.0
2013-08-24 00:00:10,382.0
2013-08-24 00:00:15,388.0
2013-08-24 00:00:20,387.0
2013-08-24 00:00:25,380.0
2013-08-24 00:00:30,392.0
2013-08-24 00:00:34,382.0
2013-08-24 00:00:40,382.0
2013-08-24 00:00:45,385.0
2013-08-24 00:00:50,385.0
2013-08-24 00:00:55,391.0
2013-08-24 00:01:00,392.0
2013-08-24 00:01:04,391.0
2013-08-24 00:01:09,388.0
2013-08-24 00:01:15,383.0
2013-08-24 00:01:20,384.0
2013-08-24 00:01:24,383.0
2013-08-24 00:01:29,380.0
2013-08-24 00:01:34,392.0
2013-08-24 00:01:40,391.0
2013-08-24 00:01:45,392.0
2013-08-24 00:01:50,387.0
2013-08-24 00:01:54,384.0
2013-08-24 00:02:00,388.0
2013-08-24 00:02:04,387.0
2013-08-24 00:02:10,391.0
2013-08-24 00:02:15,392.0
2013-08-24 00:02:20,388.0
2013-08-24 00:02:25,387.0
2013-08-24 00:02:29,388.0
2013-08-24 00:02:35,385.0
2013-08-24 00:02:40,384.0
2013-08-24 00:02:44,392.0
2013-08-24 00:02:49,392.0
2013-08-24 00:02:54,392.0
2013-08-24 00:03:00,392.0
2013-08-24 00:03:05,383.0
2013-08-24 00:03:09,383.0
2013-08-24 00:03:14,380.0
2013-08-24 00:03:20,394.0
2013-08-24 00:03:24,384.0
2013-08-24 00:03:30,383.0
2013-08-24 00:03:35,383.0
2013-08-24 00:03:39,399.0
2013-08-24 00:03:44,396.0
2013-08-24 00:03:50,391.0
2013-08-24 00:03:55,390.0
2013-08-24 00:04:00,385.0
2013-08-24 00:04:04,385.0
2013-08-24 00:04:10,383.0
2013-08-24 00:04:14,384.0
2013-08-24 00:04:20,382.0
2013-08-24 00:04:24,380.0
2013-08-24 00:04:29,379.0
2013-08-24 00:04:35,376.0
2013-08-24 00:04:40,385.0
2013-08-24 00:04:44,383.0
2013-08-24 00:04:49,382.0
2013-08-24 00:04:54,385.0
2013-08-24 00:05:00,375.0
2013-08-24 00:05:04,380.0
2013-08-24 00:05:10,384.0
2013-08-24 00:05:14,387.0
2013-08-24 00:05:19,391.0
2013-08-24 00:05:24,399.0
2013-08-24 00:05:30,399.0
2013-08-24 00:05:34,392.0
2013-08-24 00:05:39,392.0
2013-08-24 00:05:44,391.0
2013-08-24 00:05:50,391.0
2013-08-24 00:05:54,385.0
2013-08-24 00:05:59,385.0
